KIT ID,Текущий путь KIT,Текущая категория,Родитель KIT,Скрыта в меню,Дубль названия в KIT,Дубль полного пути,Предлагаемое название,Путь Ozon,Уровень Ozon,Ozon description_category_id,Ozon type_id,Тип совпадения,Оценка совпадения,Уверенность,Предлагаемое действие,Комментарий
01a0bb46-848c-78a9-8a3b-27df23eedf6b,Для дома и гостиниц > Лайт > Столы журнальные,Столы журнальные,Лайт,Нет,Да,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,81.2,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0bb46-9bfc-706d-bced-e51367c814b1,Для дома и гостиниц > Лайт > Столы,Столы,Лайт,Нет,Да,Нет,Столы,Мебель > Столы,category,17027918,,Точное совпадение,100.0,Высокая,Оставить,Название встречается в KIT несколько раз.
01a0bb46-b36a-7567-add0-74f84e2dc45b,Для дома и гостиниц > Лайт > Зеркала,Зеркала,Лайт,Нет,Да,Нет,Зеркала,Дом и сад > Зеркала,category,17028712,,Точное совпадение,100.0,Высокая,Оставить,Название встречается в KIT несколько раз.
01a0bb4a-c4fe-7e98-bd85-f7646be47270,Кресла > РВ Чейр,РВ Чейр,Кресла,Нет,Нет,Нет,Подогрев зеркал для ванной,Строительство и ремонт > Теплый пол > Подогрев зеркал для ванной,type,,970572719,Нечёткое совпадение,56.6,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0bb4f-c9db-74c8-9987-54b6c8cfe80f,Кабинеты руководителей > Ялта > Системы хранения > Гардеробы,Гардеробы,Системы хранения,Нет,Да,Нет,Гардеробная система,Мебель > Шкафы > Гардеробная система,type,,95472,Нечёткое совпадение,74.5,Низкая,Проверить вручную,"Название встречается в KIT несколько раз. Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0bb50-0f08-7b08-8c9f-788cfdb6f055,Кабинеты руководителей > Ялта > Столы журнальные,Столы журнальные,Ялта,Нет,Да,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,81.2,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0bb5f-941b-7294-be19-fe275f72ec3a,Кабинеты руководителей > Оникс Директ > Брифинг-приставки,Брифинг-приставки,Оникс Директ,Нет,Да,Нет,Рис,"Продукты питания > Макароны, крупы, мука > Рис",type,,99237,Нечёткое совпадение,79.2,Низкая,Проверить вручную,"Название встречается в KIT несколько раз. Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0bb88-f33c-7732-8c4d-f34cd3341851,Мебель для персонала > Оникс > Столы операторские > Столы эргономичные на П-образных опорах,Столы эргономичные на П-образных опорах,Столы операторские,Нет,Нет,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,82.2,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0bb89-8766-7a84-b28b-c139fd01cb36,Мебель для персонала > Оникс > Столы операторские > Столы прямые на П-образных опорах,Столы прямые на П-образных опорах,Столы операторские,Нет,Да,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,82.2,Низкая,Проверить вручную,Название встречается в KIT несколько раз. Автоматическое переименование небезопасно.
01a0bb8a-3e5a-7bef-8d00-6bc62afd2611,Мебель для персонала > Оникс > Приставные элементы > Линейные столы-приставки на П-образных опорах,Линейные столы-приставки на П-образных опорах,Приставные элементы,Нет,Нет,Нет,Столы для настольного тенниса,Спорт и отдых > Столы для настольного тенниса,category,17028705,,Нечёткое совпадение,76.1,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
01a0bb8e-9cca-71e5-ad2a-dcfb1b198dae,Мебель для персонала > Оникс > Приставные элементы > Брифинг-приставки на ЛДСП опорах,Брифинг-приставки на ЛДСП опорах,Приставные элементы,Нет,Нет,Нет,Коврик на торпедо,Автотовары > Автоаксессуары > Коврик на торпедо,type,,92173,Нечёткое совпадение,75.2,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0bbb5-3175-710a-a2c5-5250e7363ed0,Мебель для персонала > Оникс > Рабочие станции > Эргономичные рабочие станции F2F на ЛДСП опорах,Эргономичные рабочие станции F2F на ЛДСП опорах,Рабочие станции,Нет,Нет,Нет,Фехтовальный протектор на маску,Спорт и отдых > Фехтование > Фехтовальный протектор на маску,type,,970667772,Нечёткое совпадение,75.2,Низкая,Проверить вручную,"Совпадение с типом товара Ozon, а не промежуточной категорией. Автоматическое переименование небезопасно."
01a0bbb5-7f43-732b-929a-09963885d734,Мебель для персонала > Оникс > Приставные элементы > Столы-приставки F2F на ЛДСП опорах,Столы-приставки F2F на ЛДСП опорах,Приставные элементы,Нет,Нет,Нет,Столы,Мебель > Столы,category,17027918,,Нечёткое совпадение,81.6,Низкая,Проверить вручную,Автоматическое переименование небезопасно.
